Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),m11,m12,m13,m21,m22,m23,m31,m32,m33,qX,qY,qZ,qW,Lat,Long,Speed(m/s),TrueHeading,Alt(m),HorizontalAccuracy(m),VerticalAccuracy(m),Course,ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX(µT),calMagY(µT),calMagZ(µT)
08-Oct-2025 08:50:12.095, 0.0529,-1.0052,-0.0489, 0.0282,-0.0014,-0.0065,-0.0098, 0.1758, 0.0018, 0.5682, 1.5316,-1.5580, 0.5485,-0.8359,-0.0211, 0.0392, 0.0005, 0.9992,-0.8352,-0.5489, 0.0330, 0.6154,-0.3236,-0.3479, 0.6289,-23.222525,-45.865563, 0.0000, 306.4, 627.360107, 2.0, 7.6, 327.6,Unknown,High, 94.7419,-11.3884, 25.7987, 94.3969,-544.6255, 28.1823, 21.2553,-18.7953
08-Oct-2025 08:50:13.092, 0.0356,-0.9965,-0.0659, 0.0023, 0.0215, 0.0246,-0.0133, 0.1752,-0.0037, 0.5965, 1.5293,-1.4051, 0.6900,-0.7234,-0.0233, 0.0409, 0.0068, 0.9991,-0.7226,-0.6904, 0.0343, 0.6420,-0.2657,-0.2904, 0.6579,-23.222547,-45.865535, 0.0000, 295.9, 627.360107, 10.7, 7.5, 327.6,Stationary,Low, 94.7419,-11.3884, 28.4105, 94.6991,-543.0349, 30.9309, 21.5359,-16.7507
08-Oct-2025 08:50:14.089, 0.0334,-0.9927,-0.0650, 0.0206, 0.0203, 0.0052,-0.0003, 0.1847, 0.0005, 0.6479, 1.5286,-1.2652, 0.8150,-0.5790,-0.0255, 0.0403, 0.0127, 0.9991,-0.5781,-0.8153, 0.0337, 0.6649,-0.2025,-0.2269, 0.6822,-23.222518,-45.865577, 1.2727, 284.9, 627.095032, 10.7, 7.0, 289.2,Unknown,High, 94.7412,-11.3303, 30.6929, 94.5664,-541.5494, 33.4261, 21.7362,-15.1985
08-Oct-2025 08:50:15.085, 0.1095,-1.0492,-0.0774, 0.0717,-0.0231,-0.0115,-0.0091, 0.1905,-0.0003, 0.7116, 1.5272,-1.1446, 0.9071,-0.4199,-0.0285, 0.0397, 0.0180, 0.9990,-0.4190,-0.9074, 0.0330, 0.6812,-0.1395,-0.1642, 0.6997,-23.222517,-45.865594, 1.3992, 275.1, 627.036072, 10.8, 7.1, 280.2,Unknown,High, 94.7400,-11.2299, 33.1207, 94.6032,-538.8399, 35.4866, 21.6179,-12.7856
08-Oct-2025 08:50:16.082, 0.0460,-0.9547, 0.0224, 0.0161, 0.0371, 0.0407,-0.0030, 0.2212, 0.0114, 0.7690, 1.5280,-0.9843, 0.9764,-0.2139,-0.0297, 0.0356, 0.0237, 0.9991,-0.2130,-0.9766, 0.0307, 0.6932,-0.0643,-0.0876, 0.7125,-23.222516,-45.865612, 1.5357, 261.7, 627.547363, 10.6, 6.4, 270.5,Unknown,High, 94.7379,-11.0449, 34.4843, 94.4846,-535.4135, 37.0426, 21.2320,-9.4822
08-Oct-2025 08:50:17.079, 0.1072,-0.9965,-0.0019, 0.0675, 0.0481, 0.0278,-0.0110, 0.2097, 0.0012, 0.8356, 1.5248,-0.8395, 0.9994,-0.0044,-0.0341, 0.0342, 0.0307, 0.9989,-0.0034,-0.9995, 0.0308, 0.6960, 0.0107,-0.0135, 0.7178,-23.222520,-45.865632, 1.6647, 250.9, 627.377319, 10.8, 6.0, 263.7,Unknown,High, 94.7363,-10.9022, 35.6723, 94.3905,-531.8533, 38.1927, 21.1725,-5.7694
08-Oct-2025 08:50:18.076, 0.0209,-0.9788, 0.0236,-0.0094, 0.0238, 0.0475,-0.0154, 0.1546, 0.0001, 0.8548, 1.5246,-0.6684, 0.9822, 0.1847,-0.0348, 0.0286, 0.0362, 0.9989, 0.1858,-0.9821, 0.0303, 0.6920, 0.0771, 0.0545, 0.7157,-23.222526,-45.865651, 1.7293, 239.7, 628.079773, 10.8, 5.7, 252.3,Unknown,High, 94.7319,-10.5165, 35.9249, 94.3007,-528.1428, 38.1198, 20.8923,-2.6156
08-Oct-2025 08:50:19.073, 0.0969,-0.9746,-0.0522, 0.0477, 0.0016, 0.0075,-0.0091, 0.0713,-0.0041, 0.8929, 1.5245,-0.6068, 0.9589, 0.2815,-0.0360, 0.0264, 0.0380, 0.9989, 0.2826,-0.9588, 0.0290, 0.6877, 0.1119, 0.0896, 0.7117,-23.222537,-45.865677, 2.1441, 233.3, 628.242737, 10.9, 5.6, 248.7,Unknown,High, 94.7279,-10.1650, 36.0305, 94.0414,-526.8731, 38.4279, 21.1122,-0.7813
08-Oct-2025 08:50:20.070, 0.0698,-1.0137,-0.0193, 0.0581,-0.0300,-0.0004,-0.0106, 0.0860, 0.0023, 0.9318, 1.5266,-0.5617, 0.9319, 0.3611,-0.0355, 0.0235, 0.0374, 0.9990, 0.3620,-0.9318, 0.0264, 0.6834, 0.1407, 0.1195, 0.7063,-23.222553,-45.865706, 2.7361, 229.1, 628.589722, 10.8, 5.4, 243.7,Unknown,High, 94.7219,-9.6365, 35.6661, 93.6889,-524.7301, 38.1628, 20.4974, 1.1292
08-Oct-2025 08:50:21.067, 0.1267,-1.0099, 0.0043, 0.1044, 0.0035, 0.0436,-0.0067, 0.0793,-0.0218, 0.9531, 1.5272,-0.5054, 0.9011, 0.4322,-0.0355, 0.0211, 0.0381, 0.9991, 0.4332,-0.9010, 0.0252, 0.6778, 0.1672, 0.1467, 0.7008,-23.222574,-45.865733, 3.0940, 224.9, 628.428772, 10.8, 5.3, 238.8,Unknown,High, 94.7166,-9.1663, 35.3194, 94.5302,-524.2902, 37.9799, 21.0458, 2.1356
08-Oct-2025 08:50:22.064, 0.0479,-1.0147, 0.0516, 0.0555,-0.0806,-0.0530,-0.0097, 0.0795,-0.0011, 0.9453, 1.5258,-0.4217, 0.8657, 0.4992,-0.0365, 0.0184, 0.0411, 0.9990, 0.5002,-0.8655, 0.0264, 0.6705, 0.1930, 0.1729, 0.6952,-23.222590,-45.865758, 3.1555, 220.7, 628.353271, 10.7, 5.3, 237.2,Unknown,High, 94.7097,-8.5612, 34.4749, 94.3329,-522.9590, 37.2630, 20.9384, 2.8361
08-Oct-2025 08:50:23.061,-0.0696,-0.9075,-0.0547,-0.1626, 0.0513, 0.0336,-0.0086,-0.0382,-0.0001, 0.8559, 1.5268,-0.3129, 0.8559, 0.5160,-0.0332, 0.0135, 0.0418, 0.9990, 0.5169,-0.8556, 0.0288, 0.6681, 0.1982, 0.1810, 0.6940,-23.222614,-45.865786, 3.4548, 218.6, 628.230408, 10.7, 5.4, 232.7,Unknown,High, 94.7046,-8.1146, 34.7487, 94.3785,-522.5264, 37.1315, 20.9924, 3.5712
08-Oct-2025 08:50:24.058,-0.0847,-1.0878,-0.0126,-0.0731,-0.0373, 0.0017, 0.0078,-0.1805,-0.0012, 0.8197, 1.5281,-0.4004, 0.9131, 0.4065,-0.0312, 0.0166, 0.0393, 0.9991, 0.4074,-0.9128, 0.0291, 0.6791, 0.1558, 0.1385, 0.7038,-23.222642,-45.865813, 3.5788, 225.0, 628.350952, 10.9, 5.4, 227.2,Unknown,High, 94.6996,-7.6786, 35.2733, 94.0081,-523.8406, 37.7819, 20.9232, 2.0411
08-Oct-2025 08:50:25.054,-0.0377,-0.8635,-0.0221,-0.0647, 0.1646, 0.0600, 0.0110,-0.1484,-0.0251, 0.8640, 1.5306,-0.5996, 0.9649, 0.2609,-0.0306, 0.0227, 0.0332, 0.9992, 0.2617,-0.9648, 0.0261, 0.6902, 0.1027, 0.0837, 0.7114,-23.222672,-45.865842, 3.8694, 233.6, 627.732483, 10.7, 5.4, 224.9,Unknown,High, 94.6969,-7.4382, 35.2994, 93.8848,-527.0296, 38.1065, 21.1271,-0.7869
08-Oct-2025 08:50:26.051, 0.0072,-0.8953,-0.0201,-0.0363, 0.0969,-0.0088,-0.0149,-0.1594,-0.0145, 0.8226, 1.5290,-0.7130, 0.9936, 0.1088,-0.0306, 0.0273, 0.0316, 0.9991, 0.1097,-0.9936, 0.0284, 0.6953, 0.0489, 0.0284, 0.7165,-23.222689,-45.865875, 3.7910, 242.2, 628.009705, 10.6, 5.5, 236.2,Unknown,High, 94.6940,-7.1766, 35.8245, 94.4548,-529.4705, 38.3950, 21.2983,-3.5309
08-Oct-2025 08:50:27.048,-0.0339,-1.1952,-0.0476,-0.0630,-0.1573,-0.0126,-0.0200,-0.1558,-0.0003, 0.7651, 1.5301,-0.8079, 0.9987,-0.0432,-0.0282, 0.0294, 0.0281, 0.9992,-0.0424,-0.9987, 0.0294, 0.6966,-0.0049,-0.0253, 0.7170,-23.222697,-45.865909, 3.6867, 250.7, 627.850891, 10.6, 5.5, 246.8,Unknown,High, 94.6913,-6.9414, 35.4869, 94.3379,-531.8590, 37.9090, 21.3087,-5.8791
08-Oct-2025 08:50:28.045, 0.0598,-1.0467,-0.0195, 0.0271,-0.1316, 0.0460, 0.0066,-0.1110, 0.0073, 0.8688, 1.5293,-1.0400, 0.9848,-0.1707,-0.0317, 0.0358, 0.0210, 0.9991,-0.1699,-0.9851, 0.0268, 0.6959,-0.0485,-0.0724, 0.7128,-23.222704,-45.865943, 3.5834, 259.3, 627.346191, 10.4, 5.4, 255.8,Unknown,High, 94.6897,-6.8040, 34.7438, 94.4379,-534.3096, 37.1450, 21.1828,-8.3926
08-Oct-2025 08:50:29.042, 0.0041,-1.0017,-0.0323,-0.0422, 0.0094,-0.0173,-0.0043,-0.1249, 0.0005, 0.7585, 1.5269,-1.0487, 0.9576,-0.2864,-0.0302, 0.0380, 0.0219, 0.9990,-0.2855,-0.9579, 0.0318, 0.6899,-0.0900,-0.1144, 0.7091,-23.222705,-45.865986, 3.8236, 265.6, 627.429199, 10.5, 5.4, 265.8,Unknown,High, 94.6887,-6.7168, 34.0610, 94.6427,-536.1735, 36.3813, 21.6639,-9.9436
08-Oct-2025 08:50:30.039,-0.0891,-0.9216,-0.0329,-0.1117, 0.0919,-0.0109, 0.0085,-0.1375,-0.0098, 0.6687, 1.5362,-1.0893, 0.9125,-0.4085,-0.0215, 0.0307, 0.0160, 0.9994,-0.4079,-0.9126, 0.0272, 0.6836,-0.1382,-0.1570, 0.6992,-23.222705,-45.866023, 3.7683, 272.1, 626.796387, 10.5, 5.2, 269.7,Unknown,High, 94.6881,-6.6587, 33.2490, 94.5920,-538.1540, 35.5601, 21.2474,-11.4650
