# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 7.50000000E-01 0.00000000E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-3.67269071E-15  3.30616471E+01 -2.38444307E+02  3.30616471E+01 -3.67269071E-15
# x y Cp Mach
 1.00046164E+00 -1.08420217E-19  4.98781649E-01  4.50673820E-01
 1.00228270E+00 -6.50521303E-19  5.52394950E-01  4.50055333E-01
 1.00496013E+00  5.73037264E-19  4.97179376E-01  4.76625701E-01
 1.00805781E+00  1.61933595E-18  4.56043377E-01  5.00568328E-01
 1.01197113E+00 -3.22986688E-19  4.22409515E-01  5.21062600E-01
 1.01655119E+00 -2.97951538E-18  3.94079459E-01  5.38501420E-01
 1.02177406E+00 -3.35893159E-18  3.69068559E-01  5.53716636E-01
 1.02771075E+00 -2.81801376E-18  3.46063066E-01  5.67388529E-01
 1.03448788E+00 -2.90135510E-18  3.24324429E-01  5.79968050E-01
 1.04226465E+00 -1.68057308E-18  3.03460943E-01  5.91734434E-01
 1.05122670E+00 -6.87695568E-19  2.83261669E-01  6.02859740E-01
 1.06158637E+00 -1.12122194E-18  2.63611915E-01  6.13452559E-01
 1.07358540E+00 -2.22664781E-18  2.44454362E-01  6.23583615E-01
 1.08749903E+00 -1.71605653E-18  2.25770140E-01  6.33298943E-01
 1.10364108E+00 -7.73671371E-19  2.07568737E-01  6.42626045E-01
 1.12236995E+00 -6.44036103E-19  1.89881035E-01  6.51577574E-01
 1.14409536E+00 -1.14874002E-18  1.72753536E-01  6.60154661E-01
 1.16928581E+00 -1.07089789E-18  1.56243600E-01  6.68350093E-01
 1.19847665E+00 -6.74735315E-19  1.40415597E-01  6.76151006E-01
 1.23227866E+00 -3.09960504E-18  1.25337513E-01  6.83541093E-01
 1.27138709E+00 -4.03402364E-18  1.11077364E-01  6.90502606E-01
 1.31659118E+00 -2.61836801E-18  9.76992690E-02  6.97018319E-01
 1.36878413E+00 -1.13310187E-18  8.52594024E-02  7.03073411E-01
 1.42897386E+00 -3.80933544E-19  7.38021241E-02  7.08657171E-01
 1.49829488E+00 -4.96725108E-18  6.33565924E-02  7.13764407E-01
 1.57802179E+00 -1.04421500E-17  5.39342567E-02  7.18396464E-01
 1.66958499E+00 -1.05078808E-17  4.55275774E-02  7.22561743E-01
 1.77458913E+00 -1.26623291E-17  3.81101687E-02  7.26275674E-01
 1.89483502E+00 -2.17697448E-17  3.16382925E-02  7.29560154E-01
 2.03234543E+00 -1.25447987E-17  2.60534514E-02  7.32442521E-01
 2.18939541E+00  1.39116298E-17  2.12857981E-02  7.34954191E-01
 2.36854747E+00  3.17368876E-17  1.72579226E-02  7.37129128E-01
 2.57269235E+00  4.16048012E-17  1.38886044E-02  7.39002351E-01
 2.80509566E+00  6.68545085E-17  1.10960579E-02  7.40608645E-01
 3.06945116E+00  1.06318457E-16  8.79850821E-03  7.41981326E-01
 3.37611790E+00  1.50118842E-16  6.92962725E-03  7.43160506E-01
 3.73239275E+00  1.92772196E-16  5.37415899E-03  7.44181359E-01
 4.14005636E+00  2.05702689E-16  4.13409444E-03  7.45046552E-01
 4.60561483E+00  2.12814168E-16  3.15627846E-03  7.45777965E-01
 5.13689194E+00  2.37703676E-16  2.38926839E-03  7.46397086E-01
 5.74290664E+00  2.30845608E-16  1.78853533E-03  7.46922828E-01
 6.43399216E+00  2.34122720E-16  1.31766127E-03  7.47371021E-01
 7.22196200E+00  2.79057287E-16  9.54128690E-04  7.47754126E-01
 8.12030767E+00  2.79207645E-16  6.22057890E-04  7.48085415E-01
 9.14442855E+00  4.21624289E-16  3.94909842E-04  7.48374570E-01
 1.03118963E+01  8.14002487E-16  1.82241180E-04  7.48628980E-01
 1.16427575E+01  1.16432650E-15 -6.33824036E-05  7.48880058E-01
 1.31598800E+01  1.36539326E-15 -4.32941983E-04  7.49227415E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 4.14667652E-15 -3.30616471E+01  2.38444307E+02 -3.30616471E+01  4.14667652E-15
# x y Cp Mach
 1.00046164E+00 -2.08422160E-19  4.98781649E-01  4.50673820E-01
 1.00228270E+00 -5.23654653E-19  5.52394950E-01  4.50055333E-01
 1.00496013E+00  1.02907011E-18  4.97179376E-01  4.76625701E-01
 1.00805781E+00  1.88601737E-18  4.56043377E-01  5.00568328E-01
 1.01197113E+00 -3.66070004E-19  4.22409515E-01  5.21062600E-01
 1.01655119E+00 -3.14499595E-18  3.94079459E-01  5.38501420E-01
 1.02177406E+00 -3.42555492E-18  3.69068560E-01  5.53716636E-01
 1.02771075E+00 -2.78568914E-18  3.46063066E-01  5.67388529E-01
 1.03448788E+00 -2.94408753E-18  3.24324429E-01  5.79968050E-01
 1.04226465E+00 -2.35776808E-18  3.03460943E-01  5.91734434E-01
 1.05122670E+00 -1.77800231E-18  2.83261669E-01  6.02859740E-01
 1.06158637E+00 -2.64681715E-18  2.63611915E-01  6.13452559E-01
 1.07358540E+00 -4.63545490E-18  2.44454363E-01  6.23583615E-01
 1.08749903E+00 -4.16498488E-18  2.25770140E-01  6.33298943E-01
 1.10364108E+00 -3.33959010E-18  2.07568737E-01  6.42626045E-01
 1.12236995E+00 -3.55294336E-18  1.89881035E-01  6.51577574E-01
 1.14409536E+00 -5.09657461E-18  1.72753536E-01  6.60154661E-01
 1.16928581E+00 -5.68744675E-18  1.56243600E-01  6.68350093E-01
 1.19847665E+00 -3.82569375E-18  1.40415597E-01  6.76151006E-01
 1.23227866E+00 -4.63655962E-18  1.25337513E-01  6.83541093E-01
 1.27138709E+00 -5.50754345E-18  1.11077364E-01  6.90502606E-01
 1.31659118E+00 -4.57422944E-18  9.76992690E-02  6.97018319E-01
 1.36878413E+00 -3.31854413E-18  8.52594024E-02  7.03073411E-01
 1.42897386E+00 -3.28517305E-18  7.38021242E-02  7.08657171E-01
 1.49829488E+00 -1.06181197E-17  6.33565925E-02  7.13764407E-01
 1.57802179E+00 -1.81598677E-17  5.39342568E-02  7.18396464E-01
 1.66958499E+00 -1.57434954E-17  4.55275774E-02  7.22561743E-01
 1.77458913E+00 -1.86546360E-17  3.81101688E-02  7.26275674E-01
 1.89483502E+00 -2.64924126E-17  3.16382925E-02  7.29560154E-01
 2.03234543E+00 -8.48481229E-18  2.60534515E-02  7.32442521E-01
 2.18939541E+00  2.11918162E-17  2.12857981E-02  7.34954191E-01
 2.36854747E+00  4.63720054E-17  1.72579226E-02  7.37129128E-01
 2.57269235E+00  6.13542483E-17  1.38886045E-02  7.39002350E-01
 2.80509566E+00  9.44732771E-17  1.10960579E-02  7.40608645E-01
 3.06945116E+00  1.39551885E-16  8.79850822E-03  7.41981326E-01
 3.37611790E+00  1.85835407E-16  6.92962724E-03  7.43160506E-01
 3.73239275E+00  2.50696932E-16  5.37415898E-03  7.44181359E-01
 4.14005636E+00  2.73054120E-16  4.13409442E-03  7.45046552E-01
 4.60561483E+00  2.76396053E-16  3.15627844E-03  7.45777965E-01
 5.13689194E+00  2.64108687E-16  2.38926837E-03  7.46397086E-01
 5.74290664E+00  2.13970959E-16  1.78853532E-03  7.46922828E-01
 6.43399216E+00  2.50625265E-16  1.31766125E-03  7.47371021E-01
 7.22196200E+00  3.29826967E-16  9.54128681E-04  7.47754126E-01
 8.12030767E+00  3.54524568E-16  6.22057874E-04  7.48085415E-01
 9.14442855E+00  5.47716292E-16  3.94909831E-04  7.48374570E-01
 1.03118963E+01  9.36559821E-16  1.82241178E-04  7.48628980E-01
 1.16427575E+01  1.19392051E-15 -6.33824277E-05  7.48880058E-01
 1.31598800E+01  1.43972276E-15 -4.32942002E-04  7.49227415E-01

# jlow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 6.11185429E-03 -3.67364686E-10  2.77410528E-11 -3.67364686E-10  6.11185429E-03
