# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
 1.77008679E+00

# df/dalpha_inf [rad]
 1.13585631E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
       1 ,        1 ,  1.00000000E+00 ,  0.00000000E+00 , -2.61931844E+00 , -5.89693769E+01
       2 ,        1 ,  9.97260948E-01 , -2.87569128E-04 , -2.47421629E+00 ,  1.94490055E+01
       3 ,        1 ,  9.89073800E-01 , -1.14185648E-03 , -2.18503649E+00 ,  1.94143549E+01
       4 ,        1 ,  9.75528258E-01 , -2.53791227E-03 , -1.00157733E+00 ,  9.37126053E+00
       5 ,        1 ,  9.56772729E-01 , -4.43520975E-03 , -4.86347536E-01 ,  4.78619458E+00
       6 ,        1 ,  9.33012702E-01 , -6.77928835E-03 , -2.92873838E-01 ,  2.98408179E+00
       7 ,        1 ,  9.04508497E-01 , -9.50411567E-03 , -1.91189624E-01 ,  2.02237153E+00
       8 ,        1 ,  8.71572413E-01 , -1.25351175E-02 , -1.34903245E-01 ,  1.49102154E+00
       9 ,        1 ,  8.34565303E-01 , -1.57926951E-02 , -1.01904079E-01 ,  1.18321851E+00
      10 ,        1 ,  7.93892626E-01 , -1.91958951E-02 , -7.79313860E-02 ,  9.55241645E-01
      11 ,        1 ,  7.50000000E-01 , -2.26657658E-02 , -6.05200676E-02 ,  7.87462794E-01
      12 ,        1 ,  7.03368322E-01 , -2.61278709E-02 , -4.78191378E-02 ,  6.64362976E-01
      13 ,        1 ,  6.54508497E-01 , -2.95134719E-02 , -3.82842048E-02 ,  5.71636522E-01
      14 ,        1 ,  6.03955845E-01 , -3.27590627E-02 , -3.08918507E-02 ,  4.99777384E-01
      15 ,        1 ,  5.52264232E-01 , -3.58042178E-02 , -2.50032067E-02 ,  4.43444501E-01
      16 ,        1 ,  5.00000000E-01 , -3.85880708E-02 , -2.01662237E-02 ,  3.99422769E-01
      17 ,        1 ,  4.47735768E-01 , -4.10450972E-02 , -1.60394285E-02 ,  3.66068086E-01
      18 ,        1 ,  3.96044155E-01 , -4.31011613E-02 , -1.22146204E-02 ,  3.39652435E-01
      19 ,        1 ,  3.45491503E-01 , -4.46709277E-02 , -8.46184086E-03 ,  3.19380515E-01
      20 ,        1 ,  2.96631678E-01 , -4.56576749E-02 , -4.61419827E-03 ,  3.07129785E-01
      21 ,        1 ,  2.50000000E-01 , -4.59562730E-02 , -3.50667794E-04 ,  2.98979739E-01
      22 ,        1 ,  2.06107374E-01 , -4.54596163E-02 ,  4.51108143E-03 ,  3.03703287E-01
      23 ,        1 ,  1.65434697E-01 , -4.40682099E-02 ,  1.00570488E-02 ,  2.90184804E-01
      24 ,        1 ,  1.28427587E-01 , -4.17019902E-02 ,  2.27990773E-02 ,  3.47748400E-01
      25 ,        1 ,  9.54915028E-02 , -3.83129258E-02 ,  2.97837630E-02 ,  3.26713259E-01
      26 ,        1 ,  6.69872981E-02 , -3.38966139E-02 ,  5.54785426E-02 ,  3.88146055E-01
      27 ,        1 ,  4.32272712E-02 , -2.85010185E-02 ,  1.04896420E-01 ,  3.78754840E-01
      28 ,        1 ,  2.44717419E-02 , -2.22307444E-02 ,  3.83087416E-02 ,  1.13191306E-01
      29 ,        1 ,  1.09261996E-02 , -1.52457635E-02 , -3.44516071E-01 , -6.97009435E-01
      30 ,        1 ,  2.73905232E-03 , -7.75424806E-03 , -1.09122582E+00 , -1.50792573E+00
      31 ,        1 ,  0.00000000E+00 ,  0.00000000E+00 , -2.28390362E+00 ,  2.60243508E+00
      32 ,        1 ,  2.73905232E-03 ,  8.43656357E-03 ,  5.25728674E+00 , -4.96201834E+00
      33 ,        1 ,  1.09261996E-02 ,  1.67653984E-02 , -7.57311131E-01 ,  9.27203875E-01
      34 ,        1 ,  2.44717419E-02 ,  2.48698231E-02 ,  1.04382596E-01 , -3.88167703E-01
      35 ,        1 ,  4.32272712E-02 ,  3.26179477E-02 , -1.83470793E-02 ,  2.35052509E-01
