# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 7.50000000E-01 1.18681905E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 2.42971313E-01  3.29638676E+01 -2.37458502E+02  3.29517635E+01  9.25680620E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.20796505E-01  4.99026673E-01
 1.00201544E+00 -6.40561508E-05  4.35490489E-01  5.04600034E-01
 1.00459359E+00 -1.43263606E-04  3.85020786E-01  5.30057039E-01
 1.00763019E+00 -2.35095797E-04  3.45503100E-01  5.52890104E-01
 1.01149946E+00 -3.51824156E-04  3.17078959E-01  5.71118700E-01
 1.01601683E+00 -4.87043459E-04  2.94248127E-01  5.86106519E-01
 1.02114139E+00 -6.38489702E-04  2.74440378E-01  5.98908974E-01
 1.02693976E+00 -8.07215308E-04  2.56427398E-01  6.10223720E-01
 1.03353897E+00 -9.95999330E-04  2.39568760E-01  6.20491992E-01
 1.04109900E+00 -1.20835584E-03  2.23535528E-01  6.29982580E-01
 1.04980571E+00 -1.44822945E-03  2.08157595E-01  6.38859280E-01
 1.05987115E+00 -1.71992372E-03  1.93338609E-01  6.47227171E-01
 1.07153637E+00 -2.02808208E-03  1.79025498E-01  6.55156270E-01
 1.08507570E+00 -2.37768049E-03  1.65189829E-01  6.62691974E-01
 1.10080203E+00 -2.77401326E-03  1.51828414E-01  6.69865245E-01
 1.11907306E+00 -3.22265609E-03  1.38942590E-01  6.76696613E-01
 1.14029830E+00 -3.72939429E-03  1.26543785E-01  6.83197705E-01
 1.16494674E+00 -4.30011093E-03  1.14647621E-01  6.89374705E-01
 1.19355510E+00 -4.94063986E-03  1.03272186E-01  6.95227854E-01
 1.22673657E+00 -5.65659974E-03  9.24596931E-02  7.00751942E-01
 1.26518990E+00 -6.45323567E-03  8.22339490E-02  7.05944052E-01
 1.30970870E+00 -7.33529938E-03  7.26431272E-02  7.10793502E-01
 1.36119130E+00 -8.30699470E-03  6.37197904E-02  7.15293564E-01
 1.42065115E+00 -9.37200284E-03  5.54892379E-02  7.19440784E-01
 1.48922832E+00 -1.05335849E-02  4.79616768E-02  7.23237276E-01
 1.56820268E+00 -1.17947432E-02  4.11428366E-02  7.26686427E-01
 1.65900927E+00 -1.31584138E-02  3.50303885E-02  7.29794323E-01
 1.76325650E+00 -1.46276584E-02  2.96110659E-02  7.32571088E-01
 1.88274793E+00 -1.62058312E-02  2.48594497E-02  7.35030664E-01
 2.01950800E+00 -1.78967017E-02  2.07438471E-02  7.37189395E-01
