# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 7.50000000E-01 9.40384170E-01

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 2.28565518E-01  3.29363950E+01 -2.37104324E+02  3.29282076E+01  7.69088926E-01
# x y Cp Mach
 1.00031074E+00 -1.88073169E-05  4.34791791E-01  5.34653397E-01
 1.00189466E+00 -1.08157042E-04  4.34057175E-01  5.40932311E-01
 1.00442771E+00 -2.45891100E-04  3.84761406E-01  5.63287195E-01
 1.00743869E+00 -4.06380325E-04  3.45519652E-01  5.83165420E-01
 1.01129173E+00 -6.10732742E-04  3.17301701E-01  5.98632424E-01
 1.01578795E+00 -8.46208424E-04  2.94993724E-01  6.11049246E-01
 1.02088132E+00 -1.10779557E-03  2.75706164E-01  6.21545316E-01
 1.02663918E+00 -1.39634834E-03  2.58101700E-01  6.30809645E-01
 1.03319134E+00 -1.71544851E-03  2.41553369E-01  6.39246188E-01
 1.04070072E+00 -2.06941932E-03  2.25708003E-01  6.47104926E-01
 1.04935590E+00 -2.46262408E-03  2.10380566E-01  6.54530636E-01
 1.05937144E+00 -2.89918069E-03  1.95481087E-01  6.61607400E-01
 1.07099075E+00 -3.38277030E-03  1.80983223E-01  6.68383613E-01
 1.08449019E+00 -3.91648821E-03  1.66879872E-01  6.74889452E-01
 1.10018429E+00 -4.50273221E-03  1.53188547E-01  6.81139970E-01
 1.11843186E+00 -5.14313146E-03  1.39937446E-01  6.87142198E-01
 1.13964283E+00 -5.83852435E-03  1.27150353E-01  6.92897595E-01
 1.16428574E+00 -6.58899491E-03  1.14865109E-01  6.98398410E-01
 1.19289595E+00 -7.39397526E-03  1.03124041E-01  7.03631764E-01
 1.22608431E+00 -8.25241548E-03  9.19803678E-02  7.08580223E-01
