NACA 64A204	
1	0
0.95	0.004673
0.9	0.00931
0.85	0.013753
0.8	0.018018
0.75	0.021579
0.7	0.02463
0.65	0.027223
0.6	0.029353
0.55	0.031015
0.5	0.03218
0.45	0.032794
0.4	0.032775
0.35	0.032074
0.3	0.030785
0.25	0.0289
0.2	0.026363
0.15	0.023062
0.1	0.018798
0.075	0.016156
0.05	0.013029
0.025	0.009042
0.0125	0.00635
0.0075	0.004925
0.005	0.004052
0	0
0.005	-0.002717
0.0075	-0.003183
0.0125	-0.003792
0.025	-0.004714
0.05	-0.005731
0.075	-0.006358
0.1	-0.006817
0.15	-0.007407
0.2	-0.007732
0.25	-0.007854
0.3	-0.007804
0.35	-0.007592
0.4	-0.007198
0.45	-0.006513
0.5	-0.00558
0.55	-0.004489
0.6	-0.003315
0.65	-0.002117
0.7	-0.00096
0.75	0.000046
0.8	0.000702
0.85	0.000701
0.9	0.000517
0.95	0.000241
1	0
