# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 7.50000000E-01 0.00000000E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-4.70066595E-15  3.30616471E+01 -2.38444307E+02  3.30616471E+01 -4.70066595E-15
# x y Cp Mach
 1.00046164E+00 -1.08420217E-19  4.98781648E-01  4.50673820E-01
 1.00228270E+00 -6.50521303E-19  5.52394950E-01  4.50055333E-01
 1.00496013E+00  7.57174979E-19  4.97179376E-01  4.76625701E-01
 1.00805781E+00  1.90033413E-18  4.56043377E-01  5.00568328E-01
 1.01197113E+00 -2.85898921E-19  4.22409515E-01  5.21062600E-01
 1.01655119E+00 -3.16880535E-18  3.94079459E-01  5.38501420E-01
 1.02177406E+00 -3.42882000E-18  3.69068559E-01  5.53716636E-01
 1.02771075E+00 -2.58309526E-18  3.46063066E-01  5.67388529E-01
 1.03448788E+00 -2.44361866E-18  3.24324429E-01  5.79968050E-01
 1.04226465E+00 -1.31552629E-18  3.03460943E-01  5.91734434E-01
 1.05122670E+00 -8.03196328E-19  2.83261669E-01  6.02859740E-01
 1.06158637E+00 -1.51742345E-18  2.63611915E-01  6.13452559E-01
 1.07358540E+00 -2.29237356E-18  2.44454362E-01  6.23583615E-01
 1.08749903E+00 -1.99576845E-18  2.25770140E-01  6.33298943E-01
 1.10364108E+00 -2.62361613E-18  2.07568737E-01  6.42626045E-01
 1.12236995E+00 -3.93401273E-18  1.89881035E-01  6.51577574E-01
 1.14409536E+00 -9.14780597E-18  1.72753536E-01  6.60154661E-01
 1.16928581E+00 -1.26287465E-17  1.56243600E-01  6.68350093E-01
 1.19847665E+00 -8.95247231E-18  1.40415597E-01  6.76151006E-01
 1.23227866E+00 -6.43489447E-18  1.25337513E-01  6.83541093E-01
 1.27138709E+00 -6.61556129E-18  1.11077364E-01  6.90502606E-01
 1.31659118E+00 -1.07221548E-17  9.76992690E-02  6.97018319E-01
 1.36878413E+00 -1.86020290E-17  8.52594024E-02  7.03073411E-01
 1.42897386E+00 -2.43733894E-17  7.38021242E-02  7.08657171E-01
 1.49829488E+00 -2.67334210E-17  6.33565924E-02  7.13764407E-01
 1.57802179E+00 -2.95629850E-17  5.39342567E-02  7.18396464E-01
 1.66958499E+00 -3.55025141E-17  4.55275774E-02  7.22561743E-01
 1.77458913E+00 -4.06987122E-17  3.81101687E-02  7.26275674E-01
 1.89483502E+00 -4.12803680E-17  3.16382925E-02  7.29560154E-01
 2.03234543E+00 -4.47570726E-17  2.60534514E-02  7.32442521E-01
 2.18939541E+00 -4.11285320E-17  2.12857981E-02  7.34954191E-01
 2.36854747E+00 -1.52729516E-17  1.72579226E-02  7.37129128E-01
 2.57269235E+00  7.31319117E-18  1.38886044E-02  7.39002351E-01
 2.80509566E+00  5.51955876E-17  1.10960579E-02  7.40608645E-01
 3.06945116E+00  1.32514066E-16  8.79850820E-03  7.41981326E-01
 3.37611790E+00  2.16641363E-16  6.92962724E-03  7.43160506E-01
 3.73239275E+00  3.00084013E-16  5.37415899E-03  7.44181359E-01
 4.14005636E+00  4.27475024E-16  4.13409443E-03  7.45046552E-01
 4.60561483E+00  6.14811676E-16  3.15627844E-03  7.45777965E-01
 5.13689194E+00  7.43250343E-16  2.38926833E-03  7.46397086E-01
 5.74290664E+00  9.04690396E-16  1.78853526E-03  7.46922828E-01
 6.43399216E+00  1.05503769E-15  1.31766098E-03  7.47371021E-01
 7.22196200E+00  1.16879702E-15  9.54131410E-04  7.47754126E-01
 8.12030767E+00  1.23777214E-15  6.22055759E-04  7.48085415E-01
 9.14442855E+00  1.27836771E-15  3.94910057E-04  7.48374570E-01
 1.03118963E+01  1.40694991E-15  1.82241048E-04  7.48628980E-01
 1.16427575E+01  1.64901434E-15 -6.33824660E-05  7.48880058E-01
 1.31598800E+01  1.83695709E-15 -4.32942008E-04  7.49227415E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 4.82944844E-15 -3.30616471E+01  2.38444307E+02 -3.30616471E+01  4.82944844E-15
# x y Cp Mach
 1.00046164E+00 -2.17106416E-19  4.98781649E-01  4.50673820E-01
 1.00228270E+00 -3.98609388E-19  5.52394950E-01  4.50055333E-01
 1.00496013E+00  1.45389886E-18  4.97179376E-01  4.76625701E-01
 1.00805781E+00  2.48933656E-18  4.56043377E-01  5.00568328E-01
 1.01197113E+00  1.31627964E-19  4.22409515E-01  5.21062600E-01
 1.01655119E+00 -2.77586123E-18  3.94079459E-01  5.38501420E-01
 1.02177406E+00 -2.90244154E-18  3.69068560E-01  5.53716636E-01
 1.02771075E+00 -2.03138381E-18  3.46063066E-01  5.67388529E-01
 1.03448788E+00 -2.01108808E-18  3.24324429E-01  5.79968050E-01
 1.04226465E+00 -1.50873017E-18  3.03460943E-01  5.91734434E-01
 1.05122670E+00 -1.15263867E-18  2.83261669E-01  6.02859740E-01
 1.06158637E+00 -1.93809398E-18  2.63611915E-01  6.13452559E-01
 1.07358540E+00 -3.59434607E-18  2.44454363E-01  6.23583615E-01
 1.08749903E+00 -4.03150350E-18  2.25770140E-01  6.33298943E-01
 1.10364108E+00 -5.21002826E-18  2.07568737E-01  6.42626045E-01
 1.12236995E+00 -6.76750720E-18  1.89881035E-01  6.51577574E-01
 1.14409536E+00 -1.27812867E-17  1.72753536E-01  6.60154661E-01
 1.16928581E+00 -1.69799745E-17  1.56243600E-01  6.68350093E-01
 1.19847665E+00 -1.22526353E-17  1.40415597E-01  6.76151006E-01
 1.23227866E+00 -6.89516193E-18  1.25337513E-01  6.83541093E-01
 1.27138709E+00 -6.08021673E-18  1.11077364E-01  6.90502606E-01
 1.31659118E+00 -1.25220329E-17  9.76992690E-02  6.97018319E-01
 1.36878413E+00 -2.09794971E-17  8.52594024E-02  7.03073411E-01
 1.42897386E+00 -2.68091251E-17  7.38021242E-02  7.08657171E-01
 1.49829488E+00 -2.96369086E-17  6.33565925E-02  7.13764407E-01
 1.57802179E+00 -3.27459785E-17  5.39342568E-02  7.18396464E-01
 1.66958499E+00 -3.83316295E-17  4.55275774E-02  7.22561743E-01
 1.77458913E+00 -4.29530279E-17  3.81101688E-02  7.26275674E-01
 1.89483502E+00 -4.35979731E-17  3.16382925E-02  7.29560154E-01
 2.03234543E+00 -4.19484852E-17  2.60534515E-02  7.32442521E-01
 2.18939541E+00 -3.25418447E-17  2.12857981E-02  7.34954191E-01
 2.36854747E+00  2.66330174E-18  1.72579226E-02  7.37129128E-01
 2.57269235E+00  2.78502893E-17  1.38886045E-02  7.39002350E-01
 2.80509566E+00  8.17661605E-17  1.10960579E-02  7.40608645E-01
 3.06945116E+00  1.62049412E-16  8.79850821E-03  7.41981326E-01
 3.37611790E+00  2.50958523E-16  6.92962724E-03  7.43160506E-01
 3.73239275E+00  3.67325742E-16  5.37415898E-03  7.44181359E-01
 4.14005636E+00  5.10927613E-16  4.13409441E-03  7.45046552E-01
 4.60561483E+00  6.98673980E-16  3.15627842E-03  7.45777965E-01
 5.13689194E+00  8.04495407E-16  2.38926831E-03  7.46397086E-01
 5.74290664E+00  9.24878936E-16  1.78853524E-03  7.46922828E-01
 6.43399216E+00  1.09562253E-15  1.31766097E-03  7.47371021E-01
 7.22196200E+00  1.26192254E-15  9.54131401E-04  7.47754126E-01
 8.12030767E+00  1.34826971E-15  6.22055735E-04  7.48085415E-01
 9.14442855E+00  1.39642894E-15  3.94910044E-04  7.48374570E-01
 1.03118963E+01  1.50760434E-15  1.82241052E-04  7.48628980E-01
 1.16427575E+01  1.66652911E-15 -6.33824915E-05  7.48880058E-01
 1.31598800E+01  1.84190628E-15 -4.32942030E-04  7.49227415E-01

# jlow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 6.11185429E-03 -3.74596482E-10  2.89002787E-11 -3.74596482E-10  6.11185429E-03
# x y Cp Mach
 9.98630474E-01 -2.73529854E-04  4.98781650E-01  4.50673818E-01
 9.93167374E-01 -1.36016433E-03  4.49022112E-01  4.84778581E-01
 9.82301029E-01 -3.50367989E-03  3.83791739E-01  5.21127394E-01
 9.66150493E-01 -6.64531057E-03  3.09551372E-01  5.57662444E-01
 9.44892715E-01 -1.06987413E-02  2.35377654E-01  5.93070100E-01
 9.18760600E-01 -1.55522577E-02  1.64021574E-01  6.26186824E-01
 8.88040455E-01 -2.10715298E-02  9.61014328E-02  6.56960591E-01
 8.53068858E-01 -2.71029598E-02  2.95307181E-02  6.86500259E-01
 8.14228965E-01 -3.34775131E-02 -3.65130443E-02  7.15539950E-01
 7.71946313E-01 -4.00149366E-02 -1.02449768E-01  7.44363523E-01
 7.26684161E-01 -4.65282609E-02 -1.68583703E-01  7.73144115E-01
 6.78938409E-01 -5.28284755E-02 -2.34865507E-01  8.01924594E-01
 6.29232171E-01 -5.87292612E-02 -3.00488606E-01  8.30409354E-01
 5.78110039E-01 -6.40516635E-02 -3.62219497E-01  8.57230697E-01
 5.26132116E-01 -6.86285910E-02 -4.02735269E-01  8.75057143E-01
 4.73867884E-01 -7.23090291E-02 -4.39003990E-01  8.89610083E-01
 4.21889961E-01 -7.49618629E-02 -7.88781288E-01  1.04639230E+00
 3.70767829E-01 -7.64792171E-02 -9.89067185E-01  1.15083382E+00
 3.21061591E-01 -7.67792286E-02 -9.75663868E-01  1.14388761E+00
 2.73315839E-01 -7.58081844E-02 -9.37460982E-01  1.12430257E+00
 2.28053687E-01 -7.35419710E-02 -8.88778820E-01  1.10003469E+00
 1.85771035E-01 -6.99868000E-02 -8.27717665E-01  1.07052468E+00
 1.46931142E-01 -6.51791908E-02 -7.51700828E-01  1.03310554E+00
 1.11959545E-01 -5.91852116E-02 -6.57767407E-01  9.88250862E-01
 8.12394005E-02 -5.20989954E-02 -5.40115734E-01  9.32620325E-01
 5.51072846E-02 -4.40405692E-02 -3.85554537E-01  8.60563476E-01
 3.38495065E-02 -3.51530477E-02 -1.63178245E-01  7.60053027E-01
 1.76989707E-02 -2.55992606E-02  1.49718421E-01  6.23135783E-01
 6.83262597E-03 -1.55578970E-02  6.76546127E-01  4.26865136E-01
 1.36952616E-03 -5.21926053E-03  1.24918715E+00  1.48649249E-01
 1.36952616E-03  5.21926053E-03  1.24918715E+00  1.48649249E-01
 6.83262597E-03  1.55578970E-02  6.76546128E-01  4.26865136E-01
 1.76989707E-02  2.55992606E-02  1.49718421E-01  6.23135783E-01
 3.38495065E-02  3.51530477E-02 -1.63178245E-01  7.60053027E-01
 5.51072846E-02  4.40405692E-02 -3.85554536E-01  8.60563476E-01
 8.12394005E-02  5.20989954E-02 -5.40115734E-01  9.32620325E-01
 1.11959545E-01  5.91852116E-02 -6.57767406E-01  9.88250862E-01
 1.46931142E-01  6.51791908E-02 -7.51700828E-01  1.03310554E+00
 1.85771035E-01  6.99868000E-02 -8.27717665E-01  1.07052468E+00
 2.28053687E-01  7.35419710E-02 -8.88778820E-01  1.10003469E+00
 2.73315839E-01  7.58081844E-02 -9.37460982E-01  1.12430257E+00
 3.21061591E-01  7.67792286E-02 -9.75663868E-01  1.14388761E+00
 3.70767829E-01  7.64792171E-02 -9.89067184E-01  1.15083382E+00
 4.21889961E-01  7.49618629E-02 -7.88781283E-01  1.04639230E+00
 4.73867884E-01  7.23090291E-02 -4.39003990E-01  8.89610083E-01
 5.26132116E-01  6.86285910E-02 -4.02735269E-01  8.75057143E-01
 5.78110039E-01  6.40516635E-02 -3.62219497E-01  8.57230697E-01
 6.29232171E-01  5.87292612E-02 -3.00488606E-01  8.30409354E-01
 6.78938409E-01  5.28284755E-02 -2.34865507E-01  8.01924594E-01
 7.26684161E-01  4.65282609E-02 -1.68583703E-01  7.73144115E-01
 7.71946313E-01  4.00149366E-02 -1.02449768E-01  7.44363523E-01
 8.14228965E-01  3.34775131E-02 -3.65130443E-02  7.15539950E-01
 8.53068858E-01  2.71029598E-02  2.95307181E-02  6.86500259E-01
 8.88040455E-01  2.10715298E-02  9.61014327E-02  6.56960591E-01
 9.18760600E-01  1.55522577E-02  1.64021574E-01  6.26186824E-01
 9.44892715E-01  1.06987413E-02  2.35377654E-01  5.93070100E-01
 9.66150493E-01  6.64531057E-03  3.09551372E-01  5.57662444E-01
 9.82301029E-01  3.50367989E-03  3.83791739E-01  5.21127394E-01
 9.93167374E-01  1.36016433E-03  4.49022112E-01  4.84778582E-01
 9.98630474E-01  2.73529854E-04  4.98781651E-01  4.50673818E-01

# jhigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 4.43936129E+00  1.75175709E-09 -3.75290909E-10  1.75175709E-09  4.43936129E+00
# x y Cp Mach
 1.39870496E+01 -6.67826968E-01  1.52352123E-01  5.71654121E-01
 1.39438839E+01 -2.01904065E+00  8.70085875E-02  6.52397846E-01
 1.37381454E+01 -3.38692034E+00  3.25994299E-02  7.14348189E-01
 1.33714243E+01 -4.74394063E+00 -5.94431662E-03  7.56614133E-01
 1.28490553E+01 -6.06542939E+00 -2.86798407E-02  7.81053975E-01
 1.21792648E+01 -7.32966171E+00 -3.83375713E-02  7.91346035E-01
 1.13724417E+01 -8.51780989E+00 -3.87542199E-02  7.91800457E-01
 1.04405305E+01 -9.61379881E+00 -3.37439447E-02  7.86477272E-01
 9.39653928E+00 -1.06041021E+01 -2.64197347E-02  7.78653486E-01
 8.25415466E+00 -1.14775057E+01 -1.89379355E-02  7.70607972E-01
 7.02745415E+00 -1.22248608E+01 -1.25112060E-02  7.63644533E-01
 5.73070481E+00 -1.28388423E+01 -7.58895412E-03  7.58275470E-01
 4.37823653E+00 -1.33137278E+01 -4.14203913E-03  7.54489961E-01
