# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
 1.74752293E+00

# df/dalpha_inf [rad]
 1.18397604E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
       1 ,        1 ,  1.00000000E+00 ,  0.00000000E+00 , -2.54143296E+00 , -6.58862246E+01
       2 ,        1 ,  9.97260948E-01 , -1.38036760E-04 , -1.79667133E+00 ,  2.71572796E+01
       3 ,        1 ,  9.89073800E-01 , -5.63585345E-04 , -1.17635892E+00 ,  1.95775179E+01
       4 ,        1 ,  9.75528258E-01 , -1.31038066E-03 , -5.96358769E-01 ,  9.75919750E+00
       5 ,        1 ,  9.56772729E-01 , -2.43234253E-03 , -3.13315927E-01 ,  4.84337963E+00
       6 ,        1 ,  9.33012702E-01 , -3.99897341E-03 , -1.92190352E-01 ,  2.71956530E+00
       7 ,        1 ,  9.04508497E-01 , -6.08714203E-03 , -1.48990498E-01 ,  1.89813868E+00
       8 ,        1 ,  8.71572413E-01 , -8.76853455E-03 , -1.23128894E-01 ,  1.41533215E+00
       9 ,        1 ,  8.34565303E-01 , -1.20930041E-02 , -1.05946848E-01 ,  1.11020439E+00
      10 ,        1 ,  7.93892626E-01 , -1.60693487E-02 , -9.37166471E-02 ,  9.09926202E-01
      11 ,        1 ,  7.50000000E-01 , -2.06463684E-02 , -8.43542395E-02 ,  7.78031415E-01
      12 ,        1 ,  7.03368322E-01 , -2.56980074E-02 , -7.37198654E-02 ,  6.68880406E-01
      13 ,        1 ,  6.54508497E-01 , -3.10166427E-02 , -6.47171865E-02 ,  5.95090657E-01
      14 ,        1 ,  6.03955845E-01 , -3.63179202E-02 , -5.65345685E-02 ,  5.52857216E-01
      15 ,        1 ,  5.52264232E-01 , -4.12589577E-02 , -4.68965920E-02 ,  5.17897989E-01
      16 ,        1 ,  5.00000000E-01 , -4.54694456E-02 , -3.61481574E-02 ,  4.88404636E-01
      17 ,        1 ,  4.47735768E-01 , -4.85925867E-02 , -2.37218277E-02 ,  4.54967461E-01
      18 ,        1 ,  3.96044155E-01 , -5.03304455E-02 , -1.28820369E-02 ,  4.55558361E-01
      19 ,        1 ,  3.45491503E-01 , -5.04866704E-02 ,  7.26778561E-03 ,  5.81227428E-01
      20 ,        1 ,  2.96631678E-01 , -4.89991190E-02 ,  1.23912202E-02 ,  2.60449216E-01
      21 ,        1 ,  2.50000000E-01 , -4.59558860E-02 ,  2.67049180E-02 ,  2.90378573E-01
      22 ,        1 ,  2.06107374E-01 , -4.15905356E-02 ,  3.61736328E-02 ,  2.83770137E-01
      23 ,        1 ,  1.65434697E-01 , -3.62556481E-02 ,  3.27927747E-02 ,  2.08264810E-01
      24 ,        1 ,  1.28427587E-01 , -3.03775228E-02 ,  2.99043182E-02 ,  1.61106765E-01
      25 ,        1 ,  9.54915028E-02 , -2.43983673E-02 ,  2.82319283E-02 ,  1.36278181E-01
      26 ,        1 ,  6.69872981E-02 , -1.87148418E-02 ,  2.98512733E-02 ,  1.39231420E-01
      27 ,        1 ,  4.32272712E-02 , -1.36229034E-02 ,  2.28049455E-02 ,  9.99438010E-02
      28 ,        1 ,  2.44717419E-02 , -9.27822328E-03 ,  1.30656887E-02 ,  5.91842336E-02
      29 ,        1 ,  1.09261996E-02 , -5.67908691E-03 , -1.52991628E-02 ,  7.98226434E-02
      30 ,        1 ,  2.73905232E-03 , -2.67501620E-03 , -7.42843143E-01 , -3.02721707E+00
      31 ,        1 ,  0.00000000E+00 ,  0.00000000E+00 , -2.00396289E+00 ,  6.26166088E+00
      32 ,        1 ,  2.73905232E-03 ,  6.62969971E-03 ,  5.65479914E+00 , -6.79955123E+00
      33 ,        1 ,  1.09261996E-02 ,  1.31581288E-02 , -4.12692411E-01 ,  8.87639212E-01
      34 ,        1 ,  2.44717419E-02 ,  1.94901615E-02 , -1.27314199E-02 ,  4.91721435E-02
      35 ,        1 ,  4.32272712E-02 ,  2.55414914E-02 , -2.32032493E-01 ,  1.09047925E+00
      36 ,        1 ,  6.69872981E-02 ,  3.12407205E-02 , -1.42279828E-01 ,  8.18685749E-01
      37 ,        1 ,  9.54915028E-02 ,  3.65283821E-02 , -2.83765600E-02 ,  2.47566352E-01
      38 ,        1 ,  1.28427587E-01 ,  4.13531805E-02 ,  3.58011831E-02 , -2.29678408E-01
      39 ,        1 ,  1.65434697E-01 ,  4.56664534E-02 , -8.11588834E-03 ,  1.09660941E-01
      40 ,        1 ,  2.06107374E-01 ,  4.94163744E-02 , -7.27362753E-02 ,  9.15869848E-01
      41 ,        1 ,  2.50000000E-01 ,  5.25435933E-02 , -7.70935998E-02 ,  1.26178599E+00
      42 ,        1 ,  2.96631678E-01 ,  5.49798077E-02 , -4.04072788E-02 ,  9.31651110E-01
      43 ,        1 ,  3.45491503E-01 ,  5.66502046E-02 , -1.15649316E-02 ,  4.41991427E-01
      44 ,        1 ,  3.96044155E-01 ,  5.74799175E-02 ,  3.64192550E-03 ,  1.07624431E-01
      45 ,        1 ,  4.47735768E-01 ,  5.74037772E-02 ,  2.24759751E-02 ,  6.39448085E-01
      46 ,        1 ,  5.00000000E-01 ,  5.63778764E-02 ,  4.26587993E-02 ,  1.14387091E+00
      47 ,        1 ,  5.52264232E-01 ,  5.43909821E-02 ,  2.38219217E-02 ,  5.79465601E-01
      48 ,        1 ,  6.03955845E-01 ,  5.14737265E-02 ,  3.41450043E-02 ,  4.99271851E-01
      49 ,        1 ,  6.54508497E-01 ,  4.77038091E-02 ,  6.19460221E-02 ,  6.92417317E-01
      50 ,        1 ,  7.03368322E-01 ,  4.32060939E-02 ,  8.32131762E-02 ,  8.04883820E-01
      51 ,        1 ,  7.50000000E-01 ,  3.81473619E-02 ,  1.07944005E-01 ,  9.16549022E-01
      52 ,        1 ,  7.93892626E-01 ,  3.27263885E-02 ,  1.40464713E-01 ,  1.07017421E+00
      53 ,        1 ,  8.34565303E-01 ,  2.71607921E-02 ,  1.83697182E-01 ,  1.28239372E+00
      54 ,        1 ,  8.71572413E-01 ,  2.16725751E-02 ,  2.43353778E-01 ,  1.58512884E+00
      55 ,        1 ,  9.04508497E-01 ,  1.64743774E-02 ,  3.25143501E-01 ,  2.00918216E+00
      56 ,        1 ,  9.33012702E-01 ,  1.17581585E-02 ,  4.99937005E-01 ,  2.96779288E+00
      57 ,        1 ,  9.56772729E-01 ,  7.68742020E-03 ,  8.16939669E-01 ,  4.66686276E+00
      58 ,        1 ,  9.75528258E-01 ,  4.39328862E-03 ,  1.60830977E+00 ,  8.91452450E+00
      59 ,        1 ,  9.89073800E-01 ,  1.97399176E-03 ,  2.41249302E+00 ,  1.25280889E+01
      60 ,        1 ,  9.97260948E-01 ,  4.96652289E-04 ,  5.12770270E+00 ,  2.59733300E+01
      61 ,        1 ,  1.00000000E+00 ,  0.00000000E+00 , -1.88009812E+00 , -6.38371383E+01
       1 ,        2 ,  1.00062147E+00 , -3.76146337E-05 ,  2.97386980E+00 , -6.58322295E+00
       2 ,        2 ,  9.97686055E-01 , -3.45320463E-03 ,  1.01148155E+00 , -6.66387304E-01
       3 ,        2 ,  9.89002002E-01 , -5.15328810E-03 ,  1.35650784E-01 , -8.24019751E-02
       4 ,        2 ,  9.75376100E-01 , -6.27200234E-03 ,  1.60042213E-02 ,  3.18547321E-02
       5 ,        2 ,  9.56706875E-01 , -7.46820878E-03 ,  3.56529842E-03 ,  1.44414114E-02
       6 ,        2 ,  9.33056572E-01 , -9.03887118E-03 ,  1.15435075E-03 ,  8.02737796E-03
       7 ,        2 ,  9.04652148E-01 , -1.11198411E-02 ,  1.53864035E-03 ,  3.85223420E-03
       8 ,        2 ,  8.71803887E-01 , -1.37929361E-02 ,  1.27063762E-03 ,  2.64153586E-03
       9 ,        2 ,  8.34873859E-01 , -1.71084650E-02 ,  9.63900626E-04 ,  1.69572004E-03
      10 ,        2 ,  7.94266755E-01 , -2.10747935E-02 ,  9.65680774E-04 ,  7.48746552E-04
      11 ,        2 ,  7.50425571E-01 , -2.56407466E-02 ,  1.20635992E-03 , -8.77630691E-04
      12 ,        2 ,  7.03827528E-01 , -3.06807650E-02 ,  1.52659025E-03 , -4.39914902E-03
      13 ,        2 ,  6.54979577E-01 , -3.59880003E-02 ,  1.51649376E-03 , -2.13906516E-04
      14 ,        2 ,  6.04413489E-01 , -4.12789029E-02 ,  2.48857095E-03 , -5.86459576E-03
      15 ,        2 ,  5.52680629E-01 , -4.62111688E-02 ,  2.65363192E-03 , -8.28554597E-03
      16 ,        2 ,  5.00346477E-01 , -5.04146439E-02 ,  2.00697960E-03 , -1.10297090E-02
      17 ,        2 ,  4.47984924E-01 , -5.35322029E-02 ,  6.86156210E-04 , -1.29918892E-02
      18 ,        2 ,  3.96172344E-01 , -5.52652268E-02 , -2.81106760E-03 , -8.68807824E-03
      19 ,        2 ,  3.45481394E-01 , -5.54166369E-02 , -4.04397959E-03 , -1.64360517E-02
      20 ,        2 ,  2.96474478E-01 , -5.39239236E-02 , -4.25357163E-03 ,  1.55768508E-03
      21 ,        2 ,  2.49696932E-01 , -5.08755053E-02 , -4.11520772E-03 ,  1.92972580E-03
      22 ,        2 ,  2.05670057E-01 , -4.65060432E-02 , -1.03451299E-02 , -6.71825726E-02
      23 ,        2 ,  1.64884290E-01 , -4.11697065E-02 , -4.82538057E-04 ,  6.70419016E-05
      24 ,        2 ,  1.27792722E-01 , -3.52941879E-02 , -5.49509679E-06 ,  2.42343470E-03
      25 ,        2 ,  9.48048752E-02 , -2.93215288E-02 , -1.38613706E-04 ,  5.89705340E-03
      26 ,        2 ,  6.62794091E-02 , -2.36428065E-02 ,  6.44788646E-04 ,  1.22912453E-02
      27 ,        2 ,  4.25107863E-02 , -1.85286292E-02 ,  5.48292090E-03 ,  2.08489432E-02
      28 ,        2 ,  2.36987547E-02 , -1.40404157E-02 ,  6.68876102E-04 ,  2.99756850E-02
      29 ,        2 ,  9.91617324E-03 , -9.89333109E-03 ,  4.02580964E-02 , -4.51446797E-03
      30 ,        2 ,  1.30086998E-03 , -5.37329258E-03 ,  3.37544419E-01 ,  4.12792889E-01
      31 ,        2 , -1.86800735E-03 , -4.20490266E-04 , -8.73099701E-01 ,  1.21279516E+00
      32 ,        2 ,  4.41219952E-04 ,  8.48699557E-03 , -1.12053808E+00 ,  5.57671338E-01
      33 ,        2 ,  9.04319392E-03 ,  1.67006777E-02 , -2.59305584E-02 , -3.70411281E-01
      34 ,        2 ,  2.31217895E-02 ,  2.38395854E-02 ,  1.85951852E-01 , -9.00534132E-02
      35 ,        2 ,  4.22479642E-02 ,  3.02211533E-02 ,  4.77115390E-02 ,  5.01531203E-03
      36 ,        2 ,  6.62470860E-02 ,  3.60579484E-02 ,  2.19819473E-02 , -3.23026436E-02
      37 ,        2 ,  9.49151674E-02 ,  4.14102427E-02 ,  5.39935719E-03 , -1.39059785E-02
      38 ,        2 ,  1.27972682E-01 ,  4.62697692E-02 ,  7.41928359E-04 , -8.87023127E-03
      39 ,        2 ,  1.65076087E-01 ,  5.06034587E-02 ,  2.39487540E-04 , -5.78082151E-03
      40 ,        2 ,  2.05830007E-01 ,  5.43658375E-02 ,  8.41608033E-04 , -3.63236108E-03
      41 ,        2 ,  2.49795397E-01 ,  5.75005698E-02 ,  1.03600951E-03 , -2.92989589E-03
      42 ,        2 ,  2.96495891E-01 ,  5.99409852E-02 ,  9.30853568E-04 , -4.14940429E-03
      43 ,        2 ,  3.45423654E-01 ,  6.16132474E-02 ,  6.37815484E-04 ,  1.15015260E-03
      44 ,        2 ,  3.96045223E-01 ,  6.24431224E-02 , -8.32192484E-04 , -4.34901069E-03
      45 ,        2 ,  4.47807497E-01 ,  6.23658857E-02 , -1.78485886E-03 , -1.03679710E-02
      46 ,        2 ,  5.00143910E-01 ,  6.13379789E-02 , -3.19391649E-03 , -8.88661511E-04
      47 ,        2 ,  5.52480782E-01 ,  5.93484860E-02 , -3.58956741E-03 , -1.65008637E-03
      48 ,        2 ,  6.04243758E-01 ,  5.64283701E-02 , -2.66406679E-03 , -6.21070512E-03
      49 ,        2 ,  6.54864307E-01 ,  5.26557033E-02 , -2.40664390E-03 , -6.19632182E-03
      50 ,        2 ,  7.03786131E-01 ,  4.81557746E-02 , -2.64809949E-03 , -6.32421823E-03
      51 ,        2 ,  7.50471432E-01 ,  4.30958393E-02 , -2.56392526E-03 , -6.86183398E-03
      52 ,        2 ,  7.94406874E-01 ,  3.76751969E-02 , -2.30849738E-03 , -7.14113250E-03
      53 ,        2 ,  8.35109166E-01 ,  3.21120698E-02 , -2.01181339E-03 , -7.41888335E-03
      54 ,        2 ,  8.72130088E-01 ,  2.66292327E-02 , -1.52489562E-03 , -7.11606332E-03
      55 ,        2 ,  9.05060908E-01 ,  2.14403066E-02 , -1.30237753E-03 , -8.59854390E-03
      56 ,        2 ,  9.33536643E-01 ,  1.67372895E-02 , -2.30071829E-03 , -1.11363069E-02
      57 ,        2 ,  9.57243850E-01 ,  1.26739260E-02 , -7.21342563E-03 ,  8.00976242E-04
      58 ,        2 ,  9.75946231E-01 ,  9.32013417E-03 , -2.19064365E-02 ,  1.78786886E-02
      59 ,        2 ,  9.89549581E-01 ,  6.53164288E-03 , -1.14608917E-01 , -2.04787599E-01
      60 ,        2 ,  9.98078788E-01 ,  3.73659090E-03 , -1.43465561E+00 , -8.75453744E-01
      61 ,        2 ,  1.00062147E+00 , -3.76146337E-05 , -3.97743145E+00 , -2.44251843E+00
       1 ,        3 ,  1.00316785E+00 , -1.78699449E-04 ,  1.90711470E+00 , -1.93641181E+00
       2 ,        3 ,  1.00007434E+00 , -6.43401345E-03 ,  3.23006854E-01 , -1.22896634E-01
       3 ,        3 ,  9.89632969E-01 , -9.69065104E-03 ,  1.18404211E-01 , -6.97032168E-02
       4 ,        3 ,  9.75310031E-01 , -1.16308621E-02 ,  5.83134993E-03 ,  2.62882081E-03
       5 ,        3 ,  9.56522014E-01 , -1.31368893E-02 , -2.72624308E-03 , -8.28355996E-04
       6 ,        3 ,  9.32963724E-01 , -1.47892858E-02 , -1.18314132E-03 , -2.74385047E-03
       7 ,        3 ,  9.04690978E-01 , -1.68790776E-02 , -8.11382991E-04 , -2.17579021E-03
       8 ,        3 ,  8.71966307E-01 , -1.95434827E-02 , -6.25000796E-04 , -1.62948768E-03
       9 ,        3 ,  8.35143905E-01 , -2.28463109E-02 , -4.84055748E-04 , -1.13107289E-03
      10 ,        3 ,  7.94627449E-01 , -2.67979450E-02 , -4.57042120E-04 , -8.10156738E-04
      11 ,        3 ,  7.50858056E-01 , -3.13474049E-02 , -5.31038506E-04 , -5.57236079E-04
      12 ,        3 ,  7.04309660E-01 , -3.63696100E-02 , -4.81408672E-04 ,  8.45557122E-04
      13 ,        3 ,  6.55485322E-01 , -4.16586389E-02 , -5.15838522E-04 , -1.07966802E-03
      14 ,        3 ,  6.04913211E-01 , -4.69320649E-02 , -9.08674559E-04 , -2.21148788E-04
      15 ,        3 ,  5.53142190E-01 , -5.18485854E-02 , -8.51195708E-04 , -1.92503586E-04
      16 ,        3 ,  5.00737048E-01 , -5.60386638E-02 , -4.25928894E-04 ,  2.15038408E-05
      17 ,        3 ,  4.48273396E-01 , -5.91452931E-02 ,  2.65912772E-04 ,  2.70770785E-04
      18 ,        3 ,  3.96332146E-01 , -6.08695695E-02 ,  1.85518893E-03 , -2.52765034E-03
      19 ,        3 ,  3.45493390E-01 , -6.10140278E-02 ,  1.27656002E-03 ,  1.54542371E-03
      20 ,        3 ,  2.96329530E-01 , -5.95160826E-02 ,  1.20451268E-03 , -3.34695974E-03
      21 ,        3 ,  2.49397632E-01 , -5.64647309E-02 ,  5.93699901E-04 , -1.95117940E-03
      22 ,        3 ,  2.05231272E-01 , -5.20959292E-02 ,  2.66198950E-04 , -1.55251778E-03
      23 ,        3 ,  1.64332325E-01 , -4.67654426E-02 , -5.50328142E-05 , -1.86245348E-03
      24 ,        3 ,  1.27162834E-01 , -4.09015581E-02 , -2.01615416E-05 , -2.81774215E-03
      25 ,        3 ,  9.41355356E-02 , -3.49421050E-02 ,  1.88900784E-04 , -4.04216300E-03
      26 ,        3 ,  6.55965580E-02 , -2.92575089E-02 , -1.58298826E-04 , -4.68959632E-03
      27 ,        3 ,  4.17829334E-02 , -2.40517512E-02 ,  1.89003989E-04 , -2.74332510E-03
      28 ,        3 ,  2.27389663E-02 , -1.92280761E-02 ,  2.28904863E-03 , -6.94986169E-03
      29 ,        3 ,  8.28600679E-03 , -1.42427917E-02 ,  3.61063215E-02 , -5.09056141E-02
      30 ,        3 , -1.56742180E-03 , -8.12221290E-03 ,  7.21817244E-02 ,  9.70155444E-03
      31 ,        3 , -5.55285346E-03 , -7.21175985E-04 , -6.33478195E-02 ,  6.59866094E-01
      32 ,        3 , -3.21686110E-03 ,  1.05898212E-02 , -1.64371283E-01 , -8.41494433E-01
      33 ,        3 ,  6.49191948E-03 ,  2.05330541E-02 , -3.14786087E-01 , -2.92353116E-01
      34 ,        3 ,  2.14600647E-02 ,  2.86182880E-02 , -1.00591971E-01 , -2.89258695E-02
      35 ,        3 ,  4.11471049E-02 ,  3.54600131E-02 , -4.32586186E-02 , -2.53381548E-02
      36 ,        3 ,  6.54722372E-02 ,  4.15064128E-02 , -1.18302700E-03 , -2.25742932E-02
      37 ,        3 ,  9.43384393E-02 ,  4.69547390E-02 ,  1.85774180E-03 , -1.20287416E-02
      38 ,        3 ,  1.27529545E-01 ,  5.18617770E-02 ,  7.47238225E-04 , -6.03653591E-03
      39 ,        3 ,  1.64733088E-01 ,  5.62213061E-02 ,  3.35340539E-04 , -3.17506653E-03
      40 ,        3 ,  2.05569134E-01 ,  5.99985320E-02 ,  3.05940043E-04 , -2.06504257E-03
